"search-number","evaluation","evals-requested-so-far","power-plants*","initial-population*","birth-rate*","polluting-rate*","planting-rate*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","10","9","30","0.1","3","0.05","""-1930093991""","-492","-492","-492","0","-492"
"1","2","10","9","30","0.1","3","0.05","""-527855667""","-94","-94","-94","0","-94"
"1","3","10","9","30","0.1","3","0.05","""-675898190""","-616","-616","-616","0","-616"
"1","4","10","9","30","0.1","3","0.05","""-151012387""","-854","-854","-854","0","-854"
"1","5","10","9","30","0.1","3","0.05","""-1547110354""","-108","-108","-108","0","-108"
"1","6","10","9","30","0.1","3","0.05","""149600913""","-1087","-1087","-1087","0","-1087"
"1","7","10","9","30","0.1","3","0.05","""-1299065121""","-105","-105","-105","0","-105"
"1","8","10","9","30","0.1","3","0.05","""-471520436""","-2344","-2344","-2344","0","-2344"
"1","9","10","9","30","0.1","3","0.05","""-712964080""","-1363","-1363","-1363","0","-1363"
"1","10","10","9","30","0.1","3","0.05","""2130534718""","-1016","-1016","-1016","0","-1016"
"1","11","20","12","30","0.1","3","0.09","""-1052169778""","-4038","-4038","-4038","0","-4038"
"1","12","20","12","30","0.1","3","0.09","""78353832""","-172","-172","-172","0","-172"
"1","13","20","12","30","0.1","3","0.09","""461771887""","-10534","-10534","-10534","0","-10534"
"1","14","20","12","30","0.1","3","0.09","""1800430553""","-3032","-3032","-3032","0","-3032"
"1","15","20","12","30","0.1","3","0.09","""423272496""","-5558","-5558","-5558","0","-5558"
"1","16","20","12","30","0.1","3","0.09","""-2086577040""","-9291","-9291","-9291","0","-9291"
"1","17","20","12","30","0.1","3","0.09","""517926923""","-10941","-10941","-10941","0","-10941"
"1","18","20","12","30","0.1","3","0.09","""-1479710928""","-18105","-18105","-18105","0","-18105"
"1","19","20","12","30","0.1","3","0.09","""344868123""","-2074","-2074","-2074","0","-2074"
"1","20","20","12","30","0.1","3","0.09","""1415291695""","-935","-935","-935","0","-935"
"1","21","30","19","30","0.1","3","0.02","""179897932""","220","220","220","0","220"
"1","22","30","19","30","0.1","3","0.02","""-1923505397""","340","340","340","0","340"
"1","23","30","19","30","0.1","3","0.02","""621958062""","-7","-7","-7","0","-7"
"1","24","30","19","30","0.1","3","0.02","""2058083748""","218","218","218","0","218"
"1","25","30","19","30","0.1","3","0.02","""1775315821""","330","330","330","0","330"
"1","26","30","19","30","0.1","3","0.02","""1538265522""","2","2","2","0","2"
"1","27","30","19","30","0.1","3","0.02","""885207728""","19","19","19","0","19"
"1","28","30","19","30","0.1","3","0.02","""471837795""","469","469","469","0","469"
"1","29","30","19","30","0.1","3","0.02","""-1140617313""","1361","1361","1361","0","1361"
"1","30","30","19","30","0.1","3","0.02","""-2031325761""","100","100","100","0","100"
